Sentence,jfr,jannik,MaxK,student1,student2,arjen
A specification of the application's functional and nonfunctional requirements.,0,0,,,,
"First, it is anticipated that the SRS will be used by the application designers.",0,0,,,,
Designers will use the information recorded here as the basis for creating the application's design.,0,0,,,,
"Second, the client for the project, the library manager in our case, is expected to review this document.",0,0,,,,
The SRS will serve to establish a basis for agreement between the client and development team about the functionality to be provided by the application.,0,0,,,,
The purpose of this software development project is to create a new application called: DLS SYSTEM.,0,0,,,,
The client for this project wishes to enter the PC-based internet environment.,0,0,,,,
"The Library Management System will be PC-base with a internet, allowing library users to search for books,seminars and library staff members to manage the book inventory and user database.",,1,,,,
The application will be access via a internet on a PC at any place.,0,0,,,,
"Library staff will be able to manage library user accounts including remove, change, and add.",0,0,,,,
"Library staff will be able to manage the book inventory database including remove, change, and add.",0,0,,,,
The application will generate reports for administrative purposes.,0,0,,,,
"The application will provide search function on books based on ISBN, subject, title, or author.",0,0,,,,
Provide additional flexibility and convenience to the library users.,0,0,,,,
Provide better reliability and security of the library information.,0,0,,,,
Provide a more productive environment for the library staff member.,0,0,,,,
The availability of information at any time in any place.,0,0,,,,
"DLS SYSTEM is used for Library Manager, Librarian, and Library User.",,1,,,,
"However, it is possible to exchange data with other system through external interface if required.",1,1,,,,
The high level summary of functions in DLSSYSTEM System is described in the following concept map.,0,0,,,,
Detail functional requirements will be described in section 3.,0,0,,,,
The following table describe general users characteristics that will affect the functionality of the software product.,0,0,,,,
"This system is Web based, there will be a need to provide PC Server hardware connected to the internet.",,1,,,,
DLS System can potentially have more than hundreds of users.,0,0,,,,
It is unrealistic to provide training for everyone.,0,0,,,,
"Therefore, the system should be designed for easy to use, providing help instructions, and appropriate error messages for invalid user inputs.",,1,,,,
Library user is allowed to use the DLSSYSTEM only for searching book records.,,1,,,,
User should never be able to break into the system and to perform any modification.,0,0,,,,
The DLSSYSTEM should not have any unscheduled down time during library operation hours.,,1,,,,
Any down time in operation hours has significant impact to the operation and cause inconvenience to everyone in library.,1,,,,,
The following is a list of assumptions and dependencies that would affect Users have basic understanding to PC and Windows and internet.,0,0,,,,
There is a method to convert all book records and library user records from the existing system into the DLSSYSTEM.,0,0,,,,
"In this section, the users of ""Search Book Record"" are refereed to librarians and patrons (library users).",0,0,,,,
Interfaces are a critical class of components within the DML that will provide the means by which users interact with the system.,0,0,,,,
"As such, all interfaces should provide easy access to help as well as clearly indicate the current state of the user’s transaction when the user isn’t idle.",,1,,,,
Transaction and error status MUST be displayed within each interface component.,0,0,,,,
Cut and paste of text within interfaces and into and out of the interfaces MUST be supported.,0,0,,,,
Administrative interfaces will assist Library Staff in building/maintaining collections and controlling access to them.,0,0,,,,
"Because of the complexity of the data model, Library Staff will need to be able to edit multiple records simultaneously and create links between them.",1,1,,,,
Administrative MUST be able to have multiple records open for editing Administrator MUST be able to create links (references) between records without needing to type in record identifiers.,0,0,,,,
Additionally data represented in the administrative interface may be in a differentstate than that stored in the repository.,0,0,,,,
"For example, after a record has been edited, but before it has be en “saved” into the repository two versions of the record exist.",,1,,,,
The interface should clearly indicate the state of the locally edited record relative to the version stored in the repository.,0,0,,,,
"All editors MUST clearly indicate the state of the edited record (new,saved, and modified/not yet saved).",0,0,,,,
"The system shall display the user account information including user ID, last and first name, and user position, privilege.",0,0,,,,
"The system shall use a graphic user interface which allows librarians to choice actions including removing, changing and adding user account and account information..",0,0,,,,
"Within the system, logging will be used to provide a trail of transactions that have taken place.",,1,,,,
"This might either be for developer debugging purposes, administrative checks on usage, or research on the usability of interfaces.",0,0,,,,
Transaction logs MUST be kept for each service provided.,0,0,,,,
Sufficiently detailed client session logs MUST be generated to SRS-005.,0,0,,,,
The user’s password MUST never be exposed to compromise.,0,0,,,,
SRS-006 User session logs stored for usability and other research MUST be anonymous.,0,0,,,,
"SRS-008: When download the books, the system shall display the information of the e-book which is just being downloaded including: ISBN, title, location.",,1,,,,
The system shall allow a user to enter his/her data via choose an item via a mouse.,0,0,,,,
"SRS-011: Whenever the ""date"" data is needed, it shall be entered only by choose date from a online calendar.",1,1,,,,
The system shall allow the user to enter the library card number and ISBN both by typing or scanning.,0,0,,,,
"The system shall allow the user to enter book borrowing, recalling data as frequently as required.",0,0,,,,
"The system shall allow the user to add or change information in an account including: last name, first name, user ID, user position, user privilege.",0,0,,,,
SRS-016: the system shall allow the user to delete an entire account.,0,0,,,,
"The system shall allow the user choose language option which the SRS-019: If the search result are a list of books, the system shall allow the user to choose any one of them to see the details.",1,1,,,,
"SRS-021: the system shall allow the user to put ""delete"" for a existing e- book and specify the deleting reason.",0,,,,,
The system shall have a report feature that will allow the user to generate a report showing the information of a particular patron.,0,0,,,,
"The system shall have a report feature that will allow the user to generate a report showing the information of book purchase information in a period including the book titles, category, the author, the publisher, the price.",0,0,,,,
"It also shall give statistic data about the total number of books purchased, the money paid by category.",0,0,,,,
"The system shall be generate those reports to the display, a file or a printer which is linked to the system.",0,0,,,,
The system shall be installed in a windows-NT network.,0,0,,,,
The Patron information report shall be generated by users who have librarian account.,,1,,,,
The book purchase report shall only be generated by managers or users with defined privileges.,,1,,,,
SRS-7: Database update data shall be committed to the database only after the managers have approved.,,1,,,,
The system shall be recovered within 10 minutes if it is down.,,1,,,,
The system shall be recovered without intervention at user terminal if it is down.,,1,,,,
The system shall show appropriate messages at terminal when system is down.,1,1,,,,
The system shall have 99% reliability during library operating hours.,,1,,,,
SRS-012: Scheduled down time after library operating hours shall not be more than 1 hour per day.,,1,,,,
The system shall generate error messages when the user attempts to enter invalid data.,1,1,,,,
System must be able to extend to store and deliver new content media types.,0,0,,,,
SRS-015 System must be able to extend to support synchronization of media based on shared work/item structure.,0,0,,,,
System MUST be able to extend to include music thesaurus in later versions.,0,0,,,,
System MUST be able to extend support to MMTT components built in later versions.,0,0,,,,
System MUST be able to extend to support data sharing between records.,0,0,,,,
SRS-019System MUST be able to extend to support more sophisticated bookmaking including additional context (e.g. size and configuration of viewer) and book marking of other record types.,0,0,,,,
Instructors will be using the system in collaboration with Concourse to provide access to course materials and content stored within the DML.,,1,,,,
Library Staff will populate the repositories with both metadata records and media content.,0,0,,,,
They must necessarily be able to generate and modify metadata and content in records as well as create references between the records.,0,0,,,,
Additionally data represented in the administrative interface may be stored in a different database .,0,0,,,,
"For example, after a record has been edited, but before it has be en “saved” into main database .",,1,,,,
"The RDB administrator, who will be able to select an existing word or add a new one (hence it is a less controlled list than the Subjects, suggests keywords.",1,,,,,
This document includes the system requirements jointly defined by the project partners.,0,0,,,,
"In this document, system requirements defined by the partners are presented.",0,0,,,,
System requirements are classified into two categories: funtional and non-functional system requirements.,0,0,,,,
"Non-functional system requirements are classified into various categories: accessibility; accuracy; audit, control, and reporting; availability; backup and restore; capacity, current and forecast; certification; compliance; compatibility of software, tools, standards, platform, database; concurrency; configuration management; dependency on deployment; documentation; disaster recovery; efficiency (resource consumption for given load); effectiveness (resulting performance in relation to effort); error handling; exploitability; extensibility (adding features); failure management; interoperability; legal and regulatory; localizability; maintainability; modifiability; network topology; operability; performance/response time; privacy; portability; quality; recoverability; redundancy; reliability (mean time between failures); reporting; resource constraints (processor speed, memory, disk space, network bandwidth, etc.",0,0,,,,
System requirements are defined taking into account the user requirements.,0,0,,,,
Therefore “D1.1.2 - Use Case Scenarios and Requirements” is used during this task.,,1,,,,
This deliverable wil be used during system design phase.,,1,,,,
The urban spaces are full of stand-alone sensor based installations of different services designed according to their own purpose and requirements.,0,0,,,,
"For example, the municipalities provide several services to the citizens: safety and security services of citizens in the streets, traffic management, etc.",0,0,,,,
"These services rely mostly on street-implemented infrastructures, such as cameras, sensors, induction loops.",0,0,,,,
"In addition, local businesses have their own illumination systems, advertising infrastructure including neon signs, public displays etc.",0,0,,,,
They also monitor customer behavior using various sensor systems.,0,0,,,,
The INSIST project proposes an integration of these sensor-based systems into a wider perspective.,0,0,,,,
"The role of WP1 is to investigate the state-of-the-art and gather the requirements on the smart systems targeted by the INSIST project, and their development flow.",0,0,,,,
"The main objective of the second activity (Activity 1.2: System requirements) of WP1 is the definition and the consistency evaluation of the generic INSIST system requirements, taking into account the use cases and user requirements which were determined in the first activity (Activity 1.1: Use case description and user requirements) of WP1 and were provided in the first deliverable (D1.1.2 - Use Case Scenarios and Requirements).",0,0,,,,
"To achieve this objective, a set of system requirements for INSIST platform are defined and presented in this document.",,1,,,,
These requirements will meet user requirements and platform’s general requirements.,0,0,,,,
System requirement is a requirement at the system level that describes a function or the functions which the system as a whole should fullfill to satisfy the stakeholder needs and requirements.,0,0,,,,
"System requirements are expressed in an appropriate combination of textual statements, views, and non-functional requirements.",0,0,,,,
"System requirements express the levels of safety, security, reliability which will be necessary [1].",0,0,,,,
"Based on this definition, a set of system requirements are defined in WP1, taking into account the user requirements.",0,0,,,,
System requirements describe what the system shall do whereas the user requirements (user needs) describe what the user does with the system.,0,0,,,,
System requirements are classified as either functional or non-functional (supplemental) requirements in terms of functionality feature of the requirement.,0,0,,,,
A functional requirement specifies something that a user needs to perform their work.,0,0,,,,
"For example, collecting traffic – related data and processing them is a functional requirement for INSIST project.",0,0,,,,
"For example, a system may be required to enter and print cost estimates; this is a functional requirement.",0,0,,,,
Non-functional requirements specify all the remaining requirements not covered by the functional requirements.,0,0,,,,
The plan for implementing functional requirements will be detailed in the system design phase.,,1,,,,
The plan for implementing non-functional requirements will be detailed in the system architecture phase.,,1,,,,
"System requirements are classified into three categories: (i) general system requirements, (ii) security requirements, (iii) initial capacity requirements.",0,0,,,,
"General system requirements are composed of major capabilities, major system conditions, system interfaces, and system user characteristics.",0,0,,,,
Major system conditions contain of assumptions and constraints.,0,0,,,,
System interfaces describe the dependency and relationship requirements of the system to other enterprise and/or external systems.,0,0,,,,
System interfaces include any interface to a future system or one under development.,0,0,,,,
"System user characteristics identify each type of user of the system by function, location, and type of device.",0,0,,,,
Aggregated number of users should be specified and the nature of their use of the system should be explained.,0,0,,,,
Security requirements are related to the security requirements for users of the system.,0,0,,,,
Initial capacity requirements should be specified for the system.,0,0,,,,
"An initial estimation can be established using current data amounts, planned number of users, and estimated number of services.",0,0,,,,
General system acceptance criteria should be specified and agreed upon by the project partners and the potential customers who will be used to accept the final end product.,0,0,,,,
Requirement: Performance requirements should be defined.,0,0,,,,
Performance requirements should be specified and defined to measure the performance of the INSIST Platform.,,1,,,,
A list of performance criteria of the platform should be defined.,0,0,,,,
These performance criteria will be used during the acceptance of the project output.,,1,,,,
The performance of the platform will be measured by using simulation and instrumentation tools.,0,0,,,,
Obtained results will be included into performance analysis report of the platform.,0,0,,,,
The elapsed time between the request of traffic density at a specific location and the calculation of the value.,0,0,,,,
Quality criteria of the UIs of the INSIST Platform should be defined and quality of the UIs should be measured.,0,0,,,,
Quality of the UIs of the INSIST Platform should be measured and should meet required quality level.,0,0,,,,
"Documentation, complexity, integration, and usability criteria will be considered during the measurement of the UIs.",,1,,,,
Requirement: Software quality attributes should be defined.,0,0,,,,
Software quality attributes should be specified and defined to measure the quality of the INSIST Platform.,,1,,,,
The quality charactreistics of the INSIST Platform should be specified.,0,0,,,,
These characteristics are the items which can be important to either platform customers or platform developers.,0,0,,,,
"The important characteristics include adaptability, availability, reusability, robustness, testability, and usability.",0,0,,,,
Requirement: Operating environment should be described.,0,0,,,,
Operating environment in which the software will operate should be described.,0,0,,,,
"Operating environment requirements include the hardware platform, operating system and versions, and any other software components or applications.",0,0,,,,
Requirement: Limitations and contraints should be defined.,0,0,,,,
Limitations and contraints should be defined and the platform developers should be informed.,0,0,,,,
Any items or issues which will limit the options available to the platform developers should be described.,,1,,,,
Requirement: User documentation should be prepared.,0,0,,,,
User documentation should be prepared for all types of the platform users.,0,0,,,,
"User documentations include user manuals, on-line help, and tutorials should be prepared.",0,0,,,,
All documents should be delivered along with the platform or applications.,0,0,,,,
User types of the INSIST Platform and the main characteristics of the users should be defined.,0,0,,,,
Requirement: Assumptions and dependencies should be defined.,0,0,,,,
Assumptions and dependencies can affect the development process.,0,0,,,,
Platform developers and users should be informed about them.,0,0,,,,
Assumptions and dependencies which could affect the development of the system should be defined.,,1,,,,
