Sentence,jfr,jannik,MaxK,student1,student2,arjen
"The Library Management System will be PC-base with a internet, allowing library users to search for books,seminars and library staff members to manage the book inventory and user database.",,1,,,,
"DLS SYSTEM is used for Library Manager, Librarian, and Library User.",,1,,,,
"However, it is possible to exchange data with other system through external interface if required.",1,1,,,,
"This system is Web based, there will be a need to provide PC Server hardware connected to the internet.",,0,,,,
"Therefore, the system should be designed for easy to use, providing help instructions, and appropriate error messages for invalid user inputs.",,1,,,,
Library user is allowed to use the DLSSYSTEM only for searching book records.,,1,,,,
The DLSSYSTEM should not have any unscheduled down time during library operation hours.,,1,,,,
Any down time in operation hours has significant impact to the operation and cause inconvenience to everyone in library.,1,,,,,
"As such, all interfaces should provide easy access to help as well as clearly indicate the current state of the user’s transaction when the user isn’t idle.",,1,,,,
"Because of the complexity of the data model, Library Staff will need to be able to edit multiple records simultaneously and create links between them.",1,1,,,,
"For example, after a record has been edited, but before it has be en “saved” into the repository two versions of the record exist.",,1,,,,
"Within the system, logging will be used to provide a trail of transactions that have taken place.",,1,,,,
"SRS-008: When download the books, the system shall display the information of the e-book which is just being downloaded including: ISBN, title, location.",,1,,,,
"SRS-011: Whenever the ""date"" data is needed, it shall be entered only by choose date from a online calendar.",1,1,,,,
"The system shall allow the user choose language option which the SRS-019: If the search result are a list of books, the system shall allow the user to choose any one of them to see the details.",1,1,,,,
The Patron information report shall be generated by users who have librarian account.,,1,,,,
The book purchase report shall only be generated by managers or users with defined privileges.,,1,,,,
SRS-7: Database update data shall be committed to the database only after the managers have approved.,,1,,,,
The system shall be recovered within 10 minutes if it is down.,,1,,,,
The system shall be recovered without intervention at user terminal if it is down.,,1,,,,
The system shall show appropriate messages at terminal when system is down.,1,1,,,,
The system shall have 99% reliability during library operating hours.,,1,,,,
SRS-012: Scheduled down time after library operating hours shall not be more than 1 hour per day.,,1,,,,
The system shall generate error messages when the user attempts to enter invalid data.,1,1,,,,
Instructors will be using the system in collaboration with Concourse to provide access to course materials and content stored within the DML.,,1,,,,
"For example, after a record has been edited, but before it has be en “saved” into main database .",,1,,,,
"The RDB administrator, who will be able to select an existing word or add a new one (hence it is a less controlled list than the Subjects, suggests keywords.",1,,,,,
Therefore “D1.1.2 - Use Case Scenarios and Requirements” is used during this task.,,1,,,,
This deliverable wil be used during system design phase.,,1,,,,
"To achieve this objective, a set of system requirements for INSIST platform are defined and presented in this document.",,1,,,,
The plan for implementing functional requirements will be detailed in the system design phase.,,1,,,,
The plan for implementing non-functional requirements will be detailed in the system architecture phase.,,1,,,,
Performance requirements should be specified and defined to measure the performance of the INSIST Platform.,,1,,,,
These performance criteria will be used during the acceptance of the project output.,,1,,,,
"Documentation, complexity, integration, and usability criteria will be considered during the measurement of the UIs.",,1,,,,
Software quality attributes should be specified and defined to measure the quality of the INSIST Platform.,,1,,,,
Any items or issues which will limit the options available to the platform developers should be described.,,1,,,,
Assumptions and dependencies which could affect the development of the system should be defined.,,1,,,,
The requirements associated with any communications functions required by the INSIST Platform should be described.,,1,,,,
Any kind of user type can be chose when setting up your users in the INSIST system.,1,1,,,,
A maintenance user who has the role of Administrator can access the maintenance console of the INSIST project.,,1,,,,
"Expansion of the structure: if supplements are necessary in the implementation of the VDA structure on level 1, in each case these are to be added to the last chapter with content of Module I or Module II (see Module I, chapter 12 and Module II chapter 7).",1,1,,,,
"Headlines that are not used may not be deleted on levels 1 and 2 of the Modules I and II, in order to guarantee the transparency and clarity of the component requirement specification contents.",,1,,,,
When referencing an external document it has to be entered here.,1,1,,,,
"If chapters from level 3 are not used, these may be deleted or renamed.",1,1,,,,
"In addition, specific features and regulations (internal and external) for various target markets should be addressed if possible.",1,1,,,,
"Additionally, further requirements on the data security are to be formulated here if they have not already been defined in the chapter “Product Data Management” (Module I).",1,1,,,,
"Furthermore, a reference to the performance requirement is to be stated here, if this is necessary.",1,1,,,,
"If available, reference is to be made to a schedule with project-wide validity, in order to avoid redundancies between the individual CRS modules (cross-component deadlines are determined in CRS Module I).",1,1,,,,
"Reference is to be made to existing standards, if applicable, when defining prototype statuses (the generally valid definitions should be listed in CRS Module I if they are relevant to the contractor).",1,1,,,,
The inspections that are to be carried out and the acceptance and release criteria for the various prototype statuses and first samples are to be defined here.,,1,,,,
"For the proof of compliance to legal requirements, tests in consultation with the customer’s responsible department and, if necessary, in the presence of the technical monitoring service are to be carried out and documented.",1,1,,,,
"If available, information about the milestones within the certification of the component and the vehicle has to be given here.",1,1,,,,
"In the course of a CPM process, all parts of the E/E components are to be identified in this chapter whose risks regarding insufficient automotive suitability according to the above evaluation is classified as “to be critically observed”.",,1,,,,
"If the given content structure does not suffice to assign all requirements on level 2 to the superordinated subject on level 1, the requirements can be assigned to this chapter.",1,1,,,,
"If this chapter is not needed, you should delete it!",1,1,,,,
"A list of contact persons at the customer (and at the contractor, if known) has to be added in order to complete the information.",,1,,,,
A system circuit diagram that shows the component of this requirement specification in the intended environment is to be added here.,,1,,,,
"Furthermore, the MMI concept for output, reset or confirmation of fault states is to be specified, if applicable.",1,1,,,,
"If a diagnostic interface in the component is intended, the requirements for this (if available) are to be taken from the diagnostics specifications implementation regulations.",1,1,,,,
"If this component is to be programmed in series production compliant to the customer, this requirement is to be recorded here (e.g. flashing or EEprom).",1,1,,,,
"If there are customer-specified increased requirements on components whose power supplies are connected to the battery (terminal 30) even when the car is parked, they should be specified here.",,1,,,,
"If possible, additional requirements that directly or indirectly affect the protection of persons (e.g. flammability, mechanical safeguarding of emergency operation, redundancy systems) are also to be defined here.",1,1,,,,
"If necessary, the installation location is to be described more precisely (possibly with an illustration or sketch).",1,1,,,,
"If many installation locations are scheduled, all installation locations are to be described.",1,1,,,,
"If the component is exposed to direct sunlight, this should be indicated.",1,1,,,,
"If additional environmental strains occur at the intended installation location, for example through strong heat sources, vibration sources (motors) or similar, these strains are to be described.",1,1,,,,
"If possible, details or requirements on the contractor concerning the component-specific start-up screening are to be passed on already.",1,1,,,,
"In principle, the acoustic requirements that the component has to fulfil are to be established here.",,1,,,,
"If possible or available, the specific stipulations of protection classes that the component has to fulfil in terms of certain characteristics (e.g. contact and dust protection, splash water, surface, and IP classes) are to take place.",1,1,,,,
"The requirements on the stiffness or torsion stiffness, as well as the cushioning characteristics of the component are to be described differentiating according to static and dynamic stiffness.",,1,,,,
"Electrical requirements on the supply voltage fluctuations, electrical surge, system compatibility and electrical operational stability are to be recorded as the minimum specifications.",,1,,,,
"If country and/or engine-specific variants of the component are planned, these should be differentiated accordingly.",1,1,,,,
"If the component has different operating conditions (e.g. normal operation and emergency operation), the requirements that exist for the intentional bringing about of an operating condition in order to be able to carry out certain tests at all (e.g. in a service garage) are to be listed here.",,1,,,,
"If the customer provides the data and models which allow the contractor to, for example, represent the system environment during simulations, this is also to be stated here.",,1,,,,
"If the given content structure does not suffice to assign all requirements on level 1, the requirements can be assigned to this chapter.",1,1,,,,
"In this connection, only the documents quoted from in the requirement specification are to be considered further applicable documents.",,1,,,,
"If reference is made to regulations (laws, ordinances, etc.",1,1,,,,
They are too “weak” in the truest sense of the word and therefore unsuitable for adequately describing a requirement on a product.,,1,,,,
"Through Co-ReSyF‘s collaborative front end, even inexperienced researchers in EO will be able to upload their applications to the system to compose and configure processing chains for easy deployment on the cloud infrastructure.",,1,,,,
"Advanced users will also be able to go further and take full control of the processing chains and algorithms by having access to the cloud back-end, and to further optimize their applications for fast deployment for big data access and processing.",1,,,,,
"One of the biggest advantages of using Co-ReSyF is when the data to be analyzed has a significant size, where the researcher will be able to access the cloud assets in order to process the data.",1,,,,,
This means that the data is not being processed locally and it can also take some time before the processing is complete.,,1,,,,
This may result in significant uncertainty since the spectral signature at the coast is not invariant.,1,1,,,,
But this requires a long time series so that sufficient match-ups between images are available.,1,,,,,
"It is possible to create a composite image simply by normalising the image set using an image manipulation package but if the aim is to derive geophysical measurements care is needed to ensure inter-calibration considers the differing spectral response of the sensors, the observing and environmental conditions, and the spectral signature of the target.",1,,,,,
Implicitly that quantifying and correcting relative bias between monitored and reference sensors for collocated data can be generalised to measurements by the same pair of satellites even when they are not being directly compared.,1,,,,,
"By re-scaling all sensors to the same radiometric scale a consistent set of acquisitions over a given site, covering a broad range of geometries, is generated.",1,,,,,
Absolute calibration of images is probably out-of-scope considering the resources allocated to this tool (5 months) and the requirement for a reasonably long time series of Sentinel-2 data to ensure there are a significant number of matchup images sharing geometrical and temporal viewing and illumination characteristics.,0,,,,,
If there is a necessity for inter-calibration of SAR images input is required from another partner with the relevant knowledge.,1,1,,,,
"Using radiometry often requires to apply a solid atmospheric correction algorithm, especially regarding water colour as the signal is quite low.",,1,,,,
"In order to be able to exploit these synergies, the applications that will combine the data from other applications, will need generic tools for co- registration and fusion of the data.",1,1,,,,
"When analysing the data, either output or input data, the users may need some tools for data visualization and manipulation that are generic enough to consider them as useful to all users of the platform.",1,1,,,,
"The USDA and Agricultural Research Service (ARS) have supported hydrologic research since the managed and made available independently at each research location, greatly reducing the accessibility and utility of these data for policy-relevant, multi-site analyses.",1,,,,,
The users review the document to ensure the documentation completely and accurately describes the intended functionality.,,1,,,,
The system developer should review the document to ensure there is adequate information for defining an initial design of the system.,1,1,,,,
"When version 2.0 is written, the system developer and users will be asked to review this document.",,1,,,,
The data stored in the database can be viewed and downloaded using graphical and tabular interface tools.,,1,,,,
"Where applicable, data from the NRCS, Economics Research Service (ERS) Agricultural Resources and Environmental Indicators database, other ERS sources of data on costs of conservation practices, and land use and management data of NASS or other agencies will be utilized.",1,1,,,,
Data on STEWARDS will not be available to the public in real time.,,1,,,,
"These would have similar characteristics and needs as ARS users, but because of the agency-level confidentiality issues, could not access the password-protected sensitive data.",1,,,,,
"The Data Management portion of the system shall permit user access from the corporate Intranet and, if a user is authorized for outside access through the corporate firewall, from an Internet connection at the user’s home.",1,1,,,,
"Therefore, the web applications will be implemented to run on the server side as much as possible.",1,1,,,,
"If a location has inadequate resources, the minimal data required for CEAP analyses will be identified and the data team will provide additional support to that location.",1,1,,,,
