Cue Phrase,Aerospace,Agriculture,Astronomy,Automotive,Banking,Data Analytics,Digital Library,Digital Society,Health,Infrastructure,Physics,Smart City,Sustainability,Telecomm
accomplished by,1.0,,,,,,,,,,,,,
according to,0.14285714285714285,,,,,,,,,,,,,
achieved by,0.7142857142857143,,,,,1.0,,,1.0,0.0,,0.6666666666666666,,
affected,0.75,,,,,,,,,,,0.16666666666666666,,
after,0.6904761904761905,0.0,0.8,,0.6666666666666666,0.8333333333333334,1.0,,0.6842105263157895,0.75,1.0,0.375,,0.5
allow,0.717948717948718,0.42857142857142855,0.6666666666666666,,0.625,0.4,0.1111111111111111,1.0,0.4166666666666667,0.6666666666666666,0.5,0.5333333333333333,,0.5
allowed to,0.4,,,,,,,,,,,,,
allowing,0.6875,,,,,0.75,1.0,,,,,1.0,,
allows,0.625,0.3333333333333333,,,,0.4,0.5,1.0,1.0,,1.0,0.8888888888888888,0.8,1.0
although,,,,,,0.38461538461538464,,,,,,,,
any,0.3865979381443299,,,,,,,,,,,,,
around,0.4444444444444444,,,,,,,,0.2,,,,,
as,0.32486187845303865,,0.5384615384615384,,0.36923076923076925,0.32158590308370044,0.5,,0.3756906077348066,0.4351145038167939,,0.2518248175182482,0.16049382716049382,0.31645569620253167
as a result,0.5,,,,,,0.0,,1.0,,,,,1.0
as far as,1.0,,,,,,,,,,,,,
as long as,0.8888888888888888,,,,,1.0,,,,,1.0,,,
as part of,,1.0,,,,,,,,,,,,
as such,1.0,,,,,,,,,,,,,0.0
assures,1.0,,,,,,,,,,,,,0.0
at,0.40896358543417366,0.28205128205128205,0.5576923076923077,,,0.2646502835538752,,,0.4298642533936652,,0.45652173913043476,0.29754601226993865,,0.26436781609195403
at any time,0.8333333333333334,,,,,,,,,,,,,
at each,,,,,,0.3333333333333333,,,,,,,,
at the end,,0.0,,,,,,,0.5,,,,,
at the time,,,,,,0.4,,,,,,,,
attain,,,1.0,,,,,,,,,,,
based on,0.2413793103448276,,,,,0.2777777777777778,,,0.2222222222222222,0.5,,,,
because,0.8518518518518519,1.0,,,,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
before,0.6470588235294118,1.0,,,0.75,0.6,,,0.5714285714285714,0.9,,,,
being,,,,,,0.3617021276595745,,,,,,,,
below,0.5161290322580645,,,,,,,,,,,,,
but,0.2755102040816326,,,,,0.20454545454545456,0.6,,0.5384615384615384,0.5,0.5,0.3023255813953488,0.30303030303030304,0.5555555555555556
by,0.32866043613707163,,0.3103448275862069,,0.28846153846153844,0.25357142857142856,0.3333333333333333,,0.36363636363636365,0.44554455445544555,0.5,0.26506024096385544,,0.3225806451612903
can be,0.42528735632183906,,,,,,,,,,,,,
case,0.5909090909090909,,1.0,,,,,,0.38461538461538464,,,,,
cause,0.8305084745762712,,,,,,1.0,,,,0.8,0.9,0.75,1.0
caused by,0.6,,,,,,,,,,,,,
compromise,0.375,,,,,,,,,,,,,
consequence of,0.6666666666666666,,,,,,,,,,,,,
consequently,0.0,,,,0.0,,,,1.0,,,,,
containing,,,,,,0.5,,,,,,,,
corrected by,,,,,,,,,,,,,1.0,
create,,,,,0.2857142857142857,0.5,,,,,,0.25,,
decrease,,,,,,,,,,,,,,0.6666666666666666
degrade,0.875,,,,,,,,,,,,,
depending on,0.65,0.0,,,,0.5,1.0,1.0,1.0,1.0,,,,
depends on,0.5625,,,,1.0,1.0,,,0.25,,0.0,,1.0,
derive,,,,,,,,,,,1.0,,,
detected by,0.75,,,,,,,,,,,,,
determined,0.5769230769230769,,,,,,,,,,,,,
due to,0.8222222222222222,,1.0,,1.0,0.6666666666666666,0.0,1.0,0.8333333333333334,,1.0,0.75,0.4,0.6666666666666666
during,0.6683417085427136,0.375,1.0,,0.5,0.6136363636363636,0.75,,0.75,0.6470588235294118,0.9333333333333333,0.5294117647058824,0.5652173913043478,1.0
each,0.44776119402985076,,,,,0.2441860465116279,,,,,,,,
ease,,,,,,,,,,,1.0,,,
either,0.5526315789473685,,,,,,,,,,,,,
either...or,0.0,,,,,0.0,,,,,,0.0,,
enable,0.6595744680851063,,0.75,,,0.8571428571428571,,,0.5,1.0,,0.6666666666666666,1.0,
enables,0.5833333333333334,,,,,0.5,,,0.0,,,0.7,1.0,1.0
